timestamp,temp,hum,pot,prediction
2025-12-06 11:48:33,31.1,62.1,4095,N/A
2025-12-06 11:48:36,31.1,62.0,4095,N/A
2025-12-06 11:48:39,31.2,61.9,4095,N/A
2025-12-06 11:48:42,31.2,61.9,4095,N/A
2025-12-06 11:48:45,31.2,61.8,4095,N/A
2025-12-06 11:48:48,31.2,61.7,4095,N/A
2025-12-06 11:48:51,31.2,61.6,4095,N/A
2025-12-06 11:48:54,31.1,61.6,4095,N/A
2025-12-06 11:48:57,31.1,61.5,4095,N/A
2025-12-06 11:49:00,31.1,61.5,4095,N/A
2025-12-06 11:49:03,31.1,61.5,4095,N/A
2025-12-06 11:49:06,31.1,61.4,4095,N/A
2025-12-06 11:49:09,31.1,61.4,4095,N/A
2025-12-06 11:49:12,31.2,61.4,4095,N/A
2025-12-06 11:49:15,31.2,61.4,4095,N/A
2025-12-06 11:49:18,31.2,61.4,4095,N/A
2025-12-06 11:49:22,31.2,61.4,4095,N/A
2025-12-06 11:49:25,31.2,61.3,4095,N/A
2025-12-06 11:49:27,31.2,61.2,4095,N/A
2025-12-06 11:49:31,31.2,61.1,4095,N/A
2025-12-06 11:49:34,31.2,61.1,4095,N/A
2025-12-06 11:49:37,31.2,61.1,4095,N/A
2025-12-06 11:49:40,31.2,61.0,4095,N/A
2025-12-06 11:49:43,31.1,61.0,4095,N/A
2025-12-06 11:49:46,31.1,60.9,4095,N/A
2025-12-06 11:49:49,31.1,60.9,4095,N/A
2025-12-06 11:49:52,31.1,60.9,4095,N/A
2025-12-06 11:49:55,31.1,60.9,4095,N/A
2025-12-06 11:49:58,31.1,61.0,4095,N/A
2025-12-06 11:50:01,31.1,61.0,4095,N/A
2025-12-06 11:50:04,31.1,61.0,4095,N/A
2025-12-06 11:50:07,31.1,61.0,4095,N/A
2025-12-06 11:50:10,31.1,61.0,4095,N/A
2025-12-06 11:50:13,31.1,61.0,4095,N/A
2025-12-06 11:50:16,31.1,61.1,4095,N/A
2025-12-06 11:50:19,31.1,61.1,4095,N/A
2025-12-06 11:50:22,31.1,61.1,4095,N/A
2025-12-06 11:50:25,31.1,61.1,4095,N/A
2025-12-06 11:50:28,31.1,61.1,4095,N/A
2025-12-06 11:50:31,31.1,61.1,4095,N/A
2025-12-06 11:50:34,31.1,61.1,4095,N/A
2025-12-06 11:50:37,31.1,61.1,4095,N/A
2025-12-06 11:50:40,31.1,61.1,4095,N/A
2025-12-06 11:50:43,31.1,61.1,4095,N/A
2025-12-06 11:50:46,31.1,61.1,4095,N/A
2025-12-06 11:50:49,31.1,61.1,4095,N/A
2025-12-06 11:50:52,31.1,61.1,4095,N/A
2025-12-06 11:50:55,31.1,61.1,4095,N/A
2025-12-06 11:50:58,31.1,61.1,4095,N/A
2025-12-06 11:51:01,31.1,61.2,4095,N/A
2025-12-06 11:51:04,31.1,61.2,4095,N/A
2025-12-06 11:51:07,31.1,61.3,4095,N/A
2025-12-06 11:51:10,31.2,61.3,4095,N/A
2025-12-06 11:51:13,31.2,61.4,4095,N/A
2025-12-06 11:51:16,31.2,61.4,4095,N/A
2025-12-06 11:51:19,31.2,61.4,4095,N/A
2025-12-06 11:51:22,31.2,61.4,4095,N/A
2025-12-06 11:51:25,31.2,61.4,4095,N/A
2025-12-06 11:51:28,31.2,61.5,4095,N/A
2025-12-06 11:51:31,31.2,61.5,4095,N/A
2025-12-06 11:51:34,31.2,61.5,4095,N/A
2025-12-06 11:51:37,31.2,61.5,4095,N/A
2025-12-06 11:51:40,31.2,61.5,4095,N/A
2025-12-06 11:51:43,31.2,61.5,4095,N/A
2025-12-06 11:51:46,31.2,61.5,4095,N/A
2025-12-06 11:51:49,31.2,61.5,4095,N/A
2025-12-06 11:51:52,31.2,61.4,4095,N/A
2025-12-06 11:51:55,31.2,61.3,4095,N/A
2025-12-06 11:51:58,31.2,61.2,4095,N/A
2025-12-06 11:52:01,31.2,61.2,4095,N/A
2025-12-06 11:52:04,31.1,61.2,4095,N/A
2025-12-06 11:52:07,31.1,61.2,4095,N/A
2025-12-06 11:52:10,31.1,61.2,4095,N/A
2025-12-06 11:52:13,31.1,61.3,4095,N/A
2025-12-06 11:52:16,31.1,61.4,4095,N/A
