timestamp,temp,hum,label
2025-12-04 18:44:39,23.6,60.0,Dingin
2025-12-04 18:37:33,23.9,56.5,Dingin
2025-12-04 18:41:12,23.7,54.9,Dingin
2025-12-04 18:40:21,23.7,55.1,Dingin
2025-12-04 18:55:30,23.7,65.3,Dingin
2025-12-04 19:09:18,24.9,68.1,Dingin
2025-12-04 18:39:13,23.8,55.6,Dingin
2025-12-04 18:29:38,24.8,61.2,Dingin
2025-12-04 19:09:12,24.9,68.1,Dingin
2025-12-04 18:51:03,23.5,65.0,Dingin
2025-12-04 18:31:21,24.5,59.4,Dingin
2025-12-04 19:09:40,24.9,68.0,Dingin
2025-12-04 18:58:37,23.7,65.8,Dingin
2025-12-04 18:50:19,23.5,64.5,Dingin
2025-12-04 18:32:19,24.4,58.6,Dingin
2025-12-04 19:06:24,24.6,68.5,Dingin
2025-12-04 19:06:17,24.6,68.5,Dingin
2025-12-04 18:55:56,23.7,65.3,Dingin
2025-12-04 18:30:53,24.5,59.5,Dingin
2025-12-04 19:02:29,24.0,68.6,Dingin
2025-12-04 19:00:32,23.8,67.3,Dingin
2025-12-04 18:54:58,23.7,65.4,Dingin
2025-12-04 18:30:58,24.5,59.4,Dingin
2025-12-04 18:51:12,23.5,65.0,Dingin
2025-12-04 18:47:12,23.5,63.8,Dingin
2025-12-04 18:46:54,23.4,63.1,Dingin
2025-12-04 18:38:16,23.9,56.2,Dingin
2025-12-04 18:38:07,23.9,56.2,Dingin
2025-12-04 18:54:47,23.6,65.2,Dingin
2025-12-04 18:39:50,23.7,55.2,Dingin
2025-12-04 18:54:52,23.7,65.3,Dingin
2025-12-04 19:01:25,23.9,68.0,Dingin
2025-12-04 18:41:43,23.6,55.2,Dingin
2025-12-04 18:35:18,24.1,57.2,Dingin
2025-12-04 18:41:45,23.6,55.2,Dingin
2025-12-04 18:40:40,23.7,55.0,Dingin
2025-12-04 18:57:55,23.7,65.5,Dingin
2025-12-04 18:38:04,23.9,56.2,Dingin
2025-12-04 19:06:49,24.7,68.4,Dingin
2025-12-04 18:41:33,23.6,55.1,Dingin
2025-12-04 18:31:00,24.5,59.4,Dingin
2025-12-04 18:38:18,23.9,56.2,Dingin
2025-12-04 18:52:49,23.5,64.6,Dingin
2025-12-04 19:01:47,24.0,68.4,Dingin
2025-12-04 18:43:48,23.7,58.8,Dingin
2025-12-04 18:57:01,23.7,65.3,Dingin
2025-12-04 18:32:11,24.4,58.6,Dingin
2025-12-04 18:50:02,23.5,64.5,Dingin
2025-12-04 18:53:09,23.6,64.5,Dingin
2025-12-04 19:07:59,24.8,68.3,Dingin
2025-12-04 18:38:15,23.9,56.2,Dingin
2025-12-04 18:31:36,24.5,59.1,Dingin
2025-12-04 19:05:05,24.4,68.3,Dingin
2025-12-04 18:44:44,23.6,60.0,Dingin
2025-12-04 18:54:46,23.6,65.2,Dingin
2025-12-04 18:57:19,23.7,65.3,Dingin
2025-12-04 18:42:27,23.6,55.9,Dingin
2025-12-04 18:48:14,23.5,64.0,Dingin
2025-12-04 19:06:44,24.7,68.5,Dingin
2025-12-04 18:31:03,24.5,59.4,Dingin
2025-12-04 18:29:56,24.6,60.0,Dingin
2025-12-04 19:06:57,24.7,68.4,Dingin
2025-12-04 19:01:02,23.8,67.5,Dingin
2025-12-04 18:35:46,24.0,57.0,Dingin
2025-12-04 19:10:13,24.9,68.1,Dingin
2025-12-04 19:06:39,24.7,68.5,Dingin
2025-12-04 18:46:26,23.4,62.5,Dingin
2025-12-04 18:54:40,23.6,65.2,Dingin
2025-12-04 18:57:37,23.7,65.4,Dingin
2025-12-04 18:38:22,23.9,56.2,Dingin
2025-12-04 18:38:01,23.9,56.2,Dingin
2025-12-04 18:38:10,23.9,56.2,Dingin
2025-12-04 18:54:30,23.6,65.0,Dingin
2025-12-04 18:37:19,24.0,56.6,Dingin
2025-12-04 18:42:39,23.6,55.9,Dingin
2025-12-04 18:45:04,23.5,60.7,Dingin
2025-12-04 18:47:58,23.5,64.0,Dingin
2025-12-04 18:42:00,23.6,55.6,Dingin
2025-12-04 18:36:33,24.0,56.9,Dingin
2025-12-04 18:31:13,24.5,59.4,Dingin
2025-12-04 18:45:42,23.5,61.0,Dingin
2025-12-04 18:56:57,23.7,65.3,Dingin
2025-12-04 18:42:35,23.6,55.9,Dingin
2025-12-04 18:35:23,24.1,57.2,Dingin
2025-12-04 19:07:03,24.7,68.4,Dingin
2025-12-04 19:01:49,24.0,68.4,Dingin
2025-12-04 18:45:33,23.5,61.0,Dingin
2025-12-04 18:39:38,23.8,55.3,Dingin
2025-12-04 18:32:24,24.4,58.6,Dingin
2025-12-04 19:05:12,24.4,68.3,Dingin
2025-12-04 18:35:48,24.0,57.0,Dingin
2025-12-04 18:57:28,23.7,65.4,Dingin
2025-12-04 19:00:54,23.8,67.5,Dingin
2025-12-04 18:52:23,23.6,64.9,Dingin
2025-12-04 18:57:43,23.7,65.4,Dingin
2025-12-04 18:31:58,24.5,58.9,Dingin
2025-12-04 19:05:45,24.5,68.3,Dingin
2025-12-04 19:09:29,24.9,68.0,Dingin
2025-12-04 18:48:01,23.5,64.0,Dingin
2025-12-04 18:45:11,23.5,60.8,Dingin
2025-12-04 18:28:56,24.8,61.2,Dingin
2025-12-04 18:36:47,24.0,56.8,Dingin
2025-12-04 18:35:49,24.0,57.0,Dingin
2025-12-04 18:54:39,23.6,65.2,Dingin
2025-12-04 18:44:11,23.7,59.3,Dingin
2025-12-04 18:45:27,23.5,61.0,Dingin
2025-12-04 18:54:04,23.6,64.9,Dingin
2025-12-04 19:04:55,24.4,68.2,Dingin
2025-12-04 18:49:16,23.6,64.4,Dingin
2025-12-04 18:29:41,24.7,60.2,Dingin
2025-12-04 19:04:13,24.3,68.4,Dingin
2025-12-04 19:01:15,23.9,67.9,Dingin
2025-12-04 19:06:59,24.7,68.4,Dingin
2025-12-04 18:42:28,23.6,55.9,Dingin
2025-12-04 18:52:19,23.6,64.9,Dingin
2025-12-04 18:55:45,23.7,65.3,Dingin
2025-12-04 18:43:35,23.6,58.4,Dingin
2025-12-04 18:45:20,23.5,61.0,Dingin
2025-12-04 18:51:09,23.5,65.0,Dingin
2025-12-04 19:08:53,24.8,68.2,Dingin
2025-12-04 18:59:18,23.8,66.6,Dingin
2025-12-04 19:04:21,24.3,68.4,Dingin
2025-12-04 19:04:04,24.2,68.4,Dingin
2025-12-04 18:40:12,23.7,55.1,Dingin
2025-12-04 19:08:07,24.8,68.3,Dingin
2025-12-04 19:05:07,24.4,68.3,Dingin
2025-12-04 19:03:31,24.2,68.6,Dingin
2025-12-04 18:35:05,24.1,57.2,Dingin
2025-12-04 19:09:39,24.9,68.0,Dingin
